Longitude (deg),Latitude (deg),Eastward wind (m/s)
110,257,51.814
110,258,53.595
110,259,54.986
110,260,56.47
110,261,57.673
110,262,58.58
110,263,59.361
110,264,59.783
110,265,59.486
110,266,58.642
110,267,58.127
110,268,57.502
110,269,55.798
110,270,53.283
110,271,50.455
110,272,46.502
110,273,43.08
110,274,41.298
110,275,40.181
110,276,38.814
110,277,38.244
110,278,39.197
110,279,39.275
110,280,38.15
110,281,37.587
111,231,-6.6157
111,232,-4.5532
111,233,-2.0063
111,234,0.54448
111,235,2.646
111,236,4.314
111,237,6.2867
111,238,8.85
111,239,11.717
111,240,14.845
111,241,18.318
111,242,21.806
111,243,24.736
111,244,26.791
111,245,28.244
111,246,29.517
111,247,30.814
111,248,32.384
111,249,34.369
111,250,36.65
111,251,39.158
111,252,41.439
111,253,43.486
111,254,45.173
111,255,47.127
111,256,49.252
111,257,51.158
111,258,53.095
111,259,54.986
111,260,56.33
111,261,57.548
111,262,58.783
111,263,59.689
111,264,59.908
111,265,59.861
111,266,59.564
111,267,59.08
111,268,58.377
111,269,57.002
111,270,54.673
111,271,51.892
111,272,48.189
111,273,45.611
111,274,43.908
111,275,42.814
111,276,41.673
111,277,41.048
111,278,41.642
111,279,41.33
111,280,39.712
111,281,38.767
112,231,-6.7993
112,232,-4.9751
112,233,-2.686
112,234,-0.27193
112,235,1.7945
112,236,3.7398
112,237,5.9009
112,238,8.3271
112,239,11.145
112,240,14.386
112,241,17.951
112,242,21.447
112,243,24.595
112,244,26.916
112,245,28.439
112,246,29.791
112,247,31.181
112,248,32.666
112,249,34.486
112,250,36.572
112,251,38.83
112,252,41.189
112,253,43.345
112,254,45.408
112,255,47.47
112,256,49.47
112,257,51.314
112,258,52.908
112,259,54.439
112,260,55.955
112,261,57.533
112,262,58.736
112,263,59.017
112,264,59.267
112,265,59.689
112,266,59.673
112,267,59.689
112,268,59.517
112,269,58.064
112,270,55.611
112,271,52.47
112,272,49.658
112,273,47.22
112,274,46.017
112,275,45.408
112,276,44.564
112,277,43.939
112,278,44.08
112,279,43.33
112,280,41.095
112,281,39.783
113,231,-6.8188
113,232,-5.2758
113,233,-3.3266
113,234,-1.0844
113,235,1.1382
113,236,3.2984
113,237,5.6167
113,238,8.212
113,239,11.004
113,240,14.023
113,241,17.408
113,242,20.794
113,243,23.904
113,244,26.509
113,245,28.306
113,246,29.697
113,247,31.173
113,248,32.822
113,249,34.587
113,250,36.564
113,251,38.853
113,252,41.205
113,253,43.47
113,254,45.627
113,255,47.642
113,256,49.548
113,257,51.252
113,258,52.486
113,259,53.455
113,260,54.72
113,261,56.455
113,262,57.58
113,263,58.095
113,264,58.923
113,265,59.705
113,266,60.095
113,267,60.236
113,268,60.111
113,269,58.502
113,270,55.455
113,271,52.283
113,272,50.33
113,273,48.58
113,274,47.627
113,275,47.064
113,276,46.752
113,277,46.47
113,278,46.361
113,279,44.986
113,280,42.267
113,281,40.627
114,231,-6.4907
114,232,-5.1547
114,233,-3.4516
114,234,-1.5024
114,235,0.68705
114,236,3.107
114,237,5.6695
114,238,8.3837
114,239,11.177
114,240,14.003
114,241,17.017
114,242,20.15
114,243,23.115
114,244,25.877
114,245,27.877
114,246,29.158
114,247,30.689
114,248,32.533
114,249,34.4
114,250,36.423
114,251,38.611
114,252,40.861
114,253,43.127
114,254,45.377
114,255,47.47
114,256,49.158
114,257,50.564
114,258,51.892
114,259,53.142
114,260,54.283
114,261,55.658
114,262,56.752
114,263,57.58
114,264,58.705
114,265,59.502
114,266,59.892
114,267,59.736
114,268,58.658
114,269,56.439
114,270,53.83
114,271,51.705
114,272,50.58
114,273,49.423
114,274,48.47
114,275,47.83
114,276,48.33
114,277,48.705
114,278,48.689
114,279,46.939
114,280,43.345
114,281,41.314
115,231,-5.9829
115,232,-4.6743
115,233,-3.0297
115,234,-1.1899
115,235,0.89799
115,236,3.2906
115,237,5.8384
115,238,8.4808
115,239,11.322
115,240,14.209
115,241,16.939
115,242,19.619
115,243,22.345
115,244,24.994
115,245,27.048
115,246,28.431
115,247,29.955
115,248,31.908
115,249,33.923
115,250,36.048
115,251,38.322
115,252,40.611
115,253,42.939
115,254,45.252
115,255,47.314
115,256,48.658
115,257,49.814
115,258,51.392
115,259,52.642
115,260,53.736
115,261,54.955
115,262,55.986
115,263,56.83
115,264,57.611
115,265,58.111
115,266,58.22
115,267,57.158
115,268,55.642
115,269,53.908
115,270,52.923
115,271,51.97
115,272,51.189
115,273,50.502
115,274,49.502
115,275,49.189
115,276,50.095
115,277,50.642
115,278,50.736
115,279,48.408
115,280,44.127
115,281,42.002
116,231,-5.4204
116,232,-3.9907
116,233,-2.311
116,234,-0.5024
116,235,1.4097
116,236,3.5679
116,237,5.9195
116,238,8.323
116,239,11.03
116,240,14.002
116,241,16.728
116,242,19.193
116,243,21.603
116,244,23.966
116,245,26.072
116,246,27.697
116,247,29.337
116,248,31.291
116,249,33.337
116,250,35.587
