Longitude (deg),Latitude (deg),Eastward wind (m/s)
121,260,49.72
121,261,50.283
121,262,50.673
121,263,50.861
121,264,51.064
121,265,51.752
121,266,52.752
121,267,54.095
121,268,55.533
121,269,56.58
121,270,57.142
121,271,57.439
121,272,57.455
121,273,57.736
121,274,57.923
121,275,57.877
121,276,58.845
121,277,59.017
121,278,54.158
121,279,47.658
121,280,44.955
121,281,44.048
122,231,-1.4594
122,232,1.0718
122,233,3.2027
122,234,4.7056
122,235,5.7369
122,236,6.3599
122,237,7.1578
122,238,8.4694
122,239,10.211
122,240,12.306
122,241,14.746
122,242,17.451
122,243,20.041
122,244,22.13
122,245,23.845
122,246,25.548
122,247,27.572
122,248,29.908
122,249,32.275
122,250,34.65
122,251,37.009
122,252,39.361
122,253,41.502
122,254,43.095
122,255,43.923
122,256,44.423
122,257,45.502
122,258,47.205
122,259,49.002
122,260,50.642
122,261,51.564
122,262,51.783
122,263,51.627
122,264,51.783
122,265,52.455
122,266,53.345
122,267,54.783
122,268,55.892
122,269,56.252
122,270,56.845
122,271,57.455
122,272,57.767
122,273,58.705
122,274,59.033
122,275,59.205
122,276,60.142
122,277,58.392
122,278,52.002
122,279,46.627
122,280,44.908
122,281,43.877
123,231,-0.52974
123,232,1.8121
123,233,3.7749
123,234,5.106
123,235,6.1974
123,236,6.6924
123,237,7.5821
123,238,8.857
123,239,10.377
123,240,12.25
123,241,14.58
123,242,17.138
123,243,19.556
123,244,21.681
123,245,23.697
123,246,25.767
123,247,27.923
123,248,30.189
123,249,32.494
123,250,34.72
123,251,36.931
123,252,39.056
123,253,41.142
123,254,42.877
123,255,43.767
123,256,44.283
123,257,45.283
123,258,46.955
123,259,48.642
123,260,50.017
123,261,50.845
123,262,51.142
123,263,51.267
123,264,51.767
123,265,52.595
123,266,53.705
123,267,55.22
123,268,55.986
123,269,55.861
123,270,56.47
123,271,57.455
123,272,58.533
123,273,59.83
123,274,60.111
123,275,60.611
123,276,60.72
123,277,56.658
123,278,49.955
123,279,46.048
123,280,44.861
123,281,43.158
125,231,1.1285
125,232,3.1226
125,233,4.6988
125,234,5.7847
125,235,6.6167
125,236,7.3145
125,237,8.3367
125,238,9.5733
125,239,10.862
125,240,12.452
125,241,14.468
125,242,16.759
125,243,19.138
125,244,21.318
125,245,23.392
125,246,25.595
125,247,27.986
125,248,30.447
125,249,32.83
125,250,35.041
125,251,37.158
125,252,39.119
125,253,40.627
125,254,41.767
125,255,42.736
125,256,44.017
125,257,45.705
125,258,47.236
125,259,48.486
125,260,49.736
125,261,50.892
125,262,51.83
125,263,52.72
125,264,53.33
125,265,53.705
125,266,54.267
125,267,54.877
125,268,54.923
125,269,55.002
125,270,56.533
125,271,58.392
125,272,59.798
125,273,60.97
125,274,62.048
125,275,62.033
125,276,58.017
125,277,51.627
125,278,47.314
125,279,45.705
125,280,43.752
125,281,40.033
128,231,2.4703
128,232,4.4742
128,233,5.7437
128,234,6.8238
128,235,7.6807
128,236,8.692
128,237,9.9737
128,238,11.427
128,239,12.808
128,240,14.023
128,241,15.199
128,242,16.791
128,243,18.798
128,244,20.939
128,245,23.181
128,246,25.595
128,247,28.158
128,248,30.642
128,249,32.837
128,250,34.744
128,251,36.455
128,252,37.916
128,253,39.33
128,254,41.08
128,255,43.205
128,256,44.908
128,257,45.908
128,258,46.705
128,259,47.798
128,260,49.048
128,261,50.002
128,262,50.595
128,263,50.986
128,264,51.345
128,265,51.986
128,266,53.095
128,267,54.33
128,268,55.861
128,269,57.58
128,270,59.173
128,271,61.064
128,272,63.408
128,273,64.423
128,274,61.705
128,275,55.97
128,276,50.533
128,277,47.345
128,278,44.861
128,279,41.705
128,280,36.962
128,281,28.955
129,231,2.4331
129,232,4.2632
129,233,5.8423
129,234,7.0767
129,235,8.0335
129,236,9.1182
129,237,10.471
129,238,11.988
129,239,13.494
129,240,14.789
129,241,15.908
129,242,17.22
129,243,18.861
129,244,20.837
129,245,23.068
129,246,25.47
129,247,27.908
129,248,30.228
129,249,32.306
129,250,34.111
129,251,35.759
129,252,37.377
129,253,39.189
129,254,41.314
129,255,43.298
129,256,44.564
129,257,45.345
129,258,46.095
129,259,47.127
129,260,48.236
129,261,49.08
129,262,49.658
129,263,50.173
129,264,50.83
129,265,51.97
129,266,53.486
129,267,55.142
129,268,56.908
129,269,58.58
129,270,60.439
129,271,62.923
129,272,64.892
129,273,63.908
129,274,59.111
129,275,53.236
129,276,48.955
129,277,46.033
129,278,43.173
129,279,39.111
129,280,32.314
129,281,24.318
130,231,2.3414
130,232,4.1949
130,233,6.0279
130,234,7.3252
130,235,8.3869
130,236,9.6128
130,237,11.085
130,238,12.656
130,239,14.181
130,240,15.521
130,241,16.716
130,242,17.884
130,243,19.236
130,244,20.916
130,245,22.966
130,246,25.275
130,247,27.564
130,248,29.697
130,249,31.658
130,250,33.47
130,251,35.252
130,252,37.158
130,253,39.197
130,254,41.189
130,255,42.705
130,256,43.673
130,257,44.408
130,258,45.189
130,259,46.205
130,260,47.267
130,261,48.236
130,262,49.048
130,263,49.783
130,264,50.814
130,265,52.439
130,266,54.345
130,267,56.205
130,268,58.064
130,269,60.048
130,270,62.595
130,271,65.002
130,272,65.158
130,273,61.814
130,274,56.033
130,275,51.048
130,276,47.423
130,277,44.392
130,278,40.83
130,279,34.97
130,280,27.205
130,281,21.798
132,231,2.3492
132,232,4.1343
132,233,6.2398
132,234,7.9554
132,235,9.3201
132,236,10.86
132,237,12.453
132,238,13.918
132,239,15.322
132,240,16.744
132,241,18.072
132,242,19.24
132,243,20.353
132,244,21.638
132,245,23.279
132,246,25.15
132,247,27.041
132,248,28.923
132,249,30.806
132,250,32.666
132,251,34.548
132,252,36.455
132,253,38.252
132,254,39.587
132,255,40.611
132,256,41.486
132,257,42.345
132,258,43.377
132,259,44.83
132,260,46.502
132,261,47.97
132,262,49.127
132,263,50.47
132,264,52.298
132,265,54.314
132,266,56.548
132,267,58.986
132,268,61.705
132,269,64.627
132,270,66.439
132,271,65.095
132,272,60.752
132,273,55.439
132,274,51.002
132,275,47.298
132,276,43.673
132,277,38.478
132,278,31.728
132,279,25.9
132,280,23.076
132,281,22.283
133,231,2.2847
133,232,4.1812
133,233,6.2935
133,234,8.137
133,235,9.6329
133,236,11.094
133,237,12.695
133,238,14.253
133,239,15.691
133,240,17.189
133,241,18.56
133,242,19.72
133,243,20.861
133,244,22.123
133,245,23.63
133,246,25.291
133,247,27.017
133,248,28.791
133,249,30.564
133,250,32.345
133,251,34.181
133,252,35.962
133,253,37.502
133,254,38.666
133,255,39.603
133,256,40.455
133,257,41.47
133,258,42.923
133,259,44.783
133,260,46.705
133,261,48.33
133,262,49.627
133,263,51.236
133,264,53.236
133,265,55.548
133,266,58.142
133,267,60.908
133,268,63.564
133,269,66.033
133,270,66.173
133,271,62.564
133,272,57.314
133,273,52.658
133,274,49.127
133,275,45.252
133,276,39.962
133,277,33.322
133,278,27.556
133,279,24.466
133,280,23.396
133,281,22.533
134,231,2.1246
134,232,4.0855
134,233,6.2515
134,234,8.2083
134,235,9.6949
134,236,11.069
134,237,12.582
134,238,14.273
134,239,15.902
134,240,17.427
134,241,18.849
134,242,20.103
134,243,21.298
134,244,22.591
134,245,24.029
134,246,25.572
134,247,27.166
134,248,28.814
134,249,30.541
134,250,32.314
134,251,34.048
134,252,35.627
134,253,36.97
134,254,37.978
134,255,38.931
134,256,40.041
134,257,41.377
134,258,43.08
134,259,45.111
134,260,47.142
134,261,48.783
134,262,50.283
134,263,52.189
134,264,54.47
134,265,57.111
134,266,59.986
134,267,62.595
134,268,65.08
134,269,66.064
134,270,63.689
134,271,59.173
134,272,54.392
134,273,50.673
134,274,46.892
134,275,41.33
134,276,34.712
134,277,28.986
134,278,25.603
134,279,24.302
134,280,23.548
134,281,22.244
136,231,-0.53756
136,232,2.4956
136,233,4.8736
136,234,7.2593
136,235,9.4441
136,236,11.149
136,237,12.64
136,238,14.144
136,239,15.693
136,240,17.244
136,241,18.826
136,242,20.388
136,243,21.873
136,244,23.337
136,245,24.853
136,246,26.4
136,247,27.97
136,248,29.533
136,249,31.095
136,250,32.634
136,251,34.103
136,252,35.345
136,253,36.533
136,254,37.916
136,255,39.361
136,256,40.83
136,257,42.517
136,258,44.533
136,259,46.627
136,260,48.502
136,261,50.361
136,262,52.595
136,263,55.111
136,264,57.72
136,265,60.283
136,266,62.798
136,267,64.658
136,268,64.033
136,269,60.658
136,270,56.408
136,271,52.58
136,272,48.955
136,273,43.627
136,274,36.634
136,275,30.962
136,276,27.423
136,277,25.759
136,278,24.923
136,279,23.97
136,280,22.412
136,281,20.74
137,231,-3.2211
137,232,0.52885
137,233,3.3706
137,234,5.9917
137,235,8.6641
